user_id,experiment_group
MZCoQh8uM5swkkx0,control
JNxcv0bxRDLb7uGl,control
5v8RyWA6PB7po99U,variant
9YR2Z4cKYguiMrdy,control
7nX5iz0btBU7gR8h,control
UInqJXNdb9f1Pd1C,variant
rzRHj9JnEVohnw74,variant
9NupSrU0xzy777SO,control
CoSaygixaRhxkYqh,variant
IIG6ePM5OBgihlHG,control
V2w9xKIRNvAIaIKU,variant
ncaez2nMAioozP7m,control
YFMWZ8FdDKwMSoQC,control
JmFg6YvBbPS940fB,control
BRRtD9k52ByM9Ga4,control
A94ZmOcMfhAi9KGY,variant
PRxo61FFxOZW9W5Z,variant
l9MbcWKW3q6WbbB1,variant
wKFGas9b0RzFfF2d,variant
2k36qLxeZHfvkVpG,control
i76fpCct76Jszcst,variant
FgZOGNMrNakB4yXw,variant
EDPIg7pzV4Z7WbaV,variant
9leKF62iOIsVpctx,variant
13GxZkWhJLNt9IV9,control
yIyCrTrb1Ip8OJGd,control
GnuVt3hgcqGVl6Yv,variant
2vTDLLSY1hAAHuDG,control
BUGe78VsdIWqRBDC,control
T0fI7OKxCWT0EI7G,variant
Z8uFwGcryPE15cNT,control
xXFUvwbAPbzqNGiQ,control
1VMCP2zIXyxm75g4,control
JStahTpnlYwoBHbF,variant
wvYy598v55vWZPfo,variant
1Q7KGh07RReMdfSF,control
ZDUI2NZpmX7PDsq3,control
sB52zKz09wil0a55,control
aUHF91VyNS0ap8Me,variant
vC2clzpYKv4CnBeU,control
WDT9ZelpzzVuMJG9,variant
DKw5j1eJHZEj5s5F,variant
a3eSdpxp2bWBFAtx,control
lXI7GG8YQKlcaGNj,variant
QRCmlETb8YXIwqzh,control
Czjz9HYOgd50XSkC,variant
3Jyu84JjKixIWIVJ,variant
rWMFxw9FKlW2mwyI,variant
ODqW9tVyvm6sWJl8,variant
OsligBnEZs5Up0eI,control
lyZ6uJ0wp4MS0P5M,control
nE5eIwCQkrUlij5R,variant
q8LgTmNPiXA5beCK,control
LshVSavZqgySdJf7,control
Es8R1MAjzsM9cSmX,variant
B95tBh8OMacmB947,variant
Wy3GL0f5RSFS8Uup,variant
1uk7KJIst4rUOWno,variant
Ea011cpw4kljFphL,variant
lxB0h5BJzh57XBBK,variant
OJA1qiG0tmBVCmTI,variant
8frYeUybj3DX6Se2,control
3G1arFUWkuzyv6AW,control
mGHOIauV2fBqeEeL,variant
c0wK0KjjsquniTaY,variant
Smd9aWNFHBEhMz5H,variant
11c6Xla1ReDD64qV,control
UwoKunbkYML7HLXH,control
rDoAYHZ4LGxo7D2P,variant
YqeCdj3qjq7txeHf,variant
0bm9QQVkYU4w2pEk,variant
1phdNd3ycFcACFX8,control
5YsuerBP8vufaeOl,control
zTHWnzSAiz4U4vU3,control
DQV8qzJahWI8ZoU3,control
vnzBwnxbSzn63Ygc,control
UwTQU7Sr5LIYoy2K,variant
BjM4qMvz9Ryqmtyd,control
jcOSrUJUvHUhNWRs,variant
POKfZzH636SfK4G0,variant
vuff2VdDk99DEx2i,control
2cYENKJxEfbtBkdo,variant
f1WD3LY94bokhzYS,variant
Refz1dstGtWlUazn,control
LK9kJmQcGfX3jewj,variant
RbmNbtaKiqikoxL2,control
IDEWe97RXn03kiHl,variant
IIaNv7ChkOKn7DIu,control
Kes6nz9dySPyrNhM,variant
NnFY8LGwoGyqGU2b,variant
n0NNYMYffcgYhPZo,variant
UCGZDMAJCL4G8KA2,control
G9dvbje6jG1LmEUJ,control
SxZ3oCheCUdlSbAE,control
YYJJzQAetk9jNLfh,variant
wUzTQlzmN9ryGUN7,control
QlRJVde3KhPWBE5i,control
1YCnNOvkwaTKuzTJ,control
1w4a12YNouUi0ijZ,control
40zOIZyzkLbgrAHA,variant
qQ6R6Y1xygZf0xGW,control
CQvzBXuWgqtOWt1v,variant
B8NWgaFmDwY63s9F,control
DCWSCDpNsranYUXb,control
1BWXDLYdahC2McFj,control
jsTH7Gw2BFXgCha4,variant
2cxw68h14UKcYGBU,control
hHIFxnF3TQpdZK1u,control
nE2VrgjgGwusV8sJ,control
C7rbaUetkPbcw2lt,variant
eKLDiH0RIZ5vRxqj,control
D36TwFqXYqniNbSy,variant
Mi1vQTdz5CSHwKkf,control
ruPJOLHqKyL5lw0P,variant
vuA4EfANHlS40gjS,variant
qzuB95Tb71QaY0JY,variant
zCukNkJW6MNI1H2U,control
x1ve3G5JUtsIZQq9,control
6SQHizb0iiNqay8Q,variant
NPyMIcXKRRYDLHls,variant
KR66W8qj42WUl9px,variant
shEuqwK1pfhyrylo,control
6zOSzUFjpgqwzuv5,control
gno0giYVhX6wCrED,variant
ZMIr6PMqnExIR7SH,control
cKQNz2wRMo3WdCvy,variant
mrGpSPR9b2IPHD62,variant
mmrFFI6MTZC9WC90,control
R4p3RU4jDyMteaDW,variant
cSn3DXdr9KyVa0To,variant
ioW4xdl65K8KQ7fM,control
3Txk9mHygZd6htC1,control
0YSTjQH4zOW5c3fe,control
e1UwWiIt5W86PIXr,control
9qxcFILm38UyidnK,variant
HkO3c6BCicyHlPio,variant
Nyek6Hx7oLh6eVzr,control
fK7VmBemqXNSF9CY,variant
5c3NHNAmSGfxspNB,variant
G66VOmQSy0PJAL7g,control
eQS54YEwPjFQ0DME,variant
rJbnmClMbFmTAWOq,variant
NEH7xSIVfsDgjOFH,variant
B7oDKCvdtFJXdAql,variant
vqj1avz36rXnUClJ,variant
6IZ8lgCkGfUoFYk5,control
