Animal type,Country,Weight kg,Body Length cm,Gender,Animal code,Latitude,Longitude,Animal name,Observation date,Data compiled by
red squirrel,Poland,0.3315,21.0,male,0.0,49.560723,18.944015,Bob Bobson,03.01.2024,James Johnson
red squirrel,Poland,0.3315,21.0,male,0.0,49.560723,18.944015,Bob Bobson,03.02.2024,James Johnson
red squirel,Poland,0.308,22.0,female,0.0,52.241273,21.055745,Basia,01.03.2024,Anne Anthony
red squirrel,PL,0.348,20.0,female,0.0,52.24206,21.057802,Bob Bobson,01.03.2024,Anne Anthony
red squirrel,Poland,0.316,20.0,male,0.0,52.240035,21.056188,Lolek,01.03.2024,Anne Anthony
red squirrel,Poland,0.34,21.0,male,0.0,52.240284,21.051948,Bob Bobson,01.03.2024,Anne Anthony
red squirrel,Poland,0.333,21.0,male,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Anne Anthony
red squirrel,Poland,0.265,19.0,female,0.0,52.24056,21.055899,Bob Bobson,01.03.2024,Anne Anthony
red squirrel,Poland,0.3315,21.0,male,0.0,52.241177,21.052873,Bob Bobson,01.03.2024,Anne Anthony
red squirrel,PL,0.261,22.0,female,0.0,52.240833,21.052093,Bob Bobson,01.03.2024,Anne Anthony
red squirrel,Poland,0.317,23.0,male,0.0,52.241358,21.056352,Bob Bobson,01.03.2024,Anne Anthony
red squirrel,Poland,0.328,21.0,male,0.0,52.241905,21.050727,Bob Bobson,01.03.2024,Anne Anthony
red squirrel,Hungary,0.305,21.0,male,0.0,47.511401,18.949119,Bob Bobson,01.03.2024,Anne Anthony
red squirrell,Poland,0.328,23.0,male,0.0,52.24192,21.056347,Bob Bobson,01.03.2024,Anne Anthony
red squirrel,Germany,0.294,19.0,male,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.25,19.0,female,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.262,21.0,male,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.267,21.0,female,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.269,22.0,male,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.308,22.0,female,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.308,19.0,male,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.27,20.0,male,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.32,20.0,male,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.262,20.0,male,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.256,21.0,male,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.245,22.0,male,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.292,19.0,male,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.289,19.0,female,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
red squirrel,Germany,0.308,22.0,male,0.0,49.560723,18.944015,Bob Bobson,01.03.2024,Bob Bobson
hedgehog,Czech Republic,0.6,20.0,female,0.0,50.636869,14.844555,Bob Bobson,01.03.2024,John Johnson
red squirrel,Slovakia,0.275,23.0,male,0.0,48.185353,17.08322,Bob Bobson,01.03.2024,John Johnson
wedgehod,Czech Republic,0.9,22.0,male,0.0,50.642843,14.84124,Bob Bobson,01.03.2024,John Johnson
red squirrel,Germany,0.244,22.0,female,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.299,21.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.284,20.0,female,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.289,20.0,female,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.284,21.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.314,22.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.262,19.0,female,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.258,20.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.297,21.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.255,22.0,female,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.28,22.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.293,22.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.295,20.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.28,20.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.281,20.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.245,21.0,female,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.283,21.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.27,19.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.315,22.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.254,17.0,female,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.249,19.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.298,21.0,male,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
red squirrel,Germany,0.314,19.0,female,0.0,49.560723,18.944015,Bob Bobson,02.03.2024,Bob Bobson
