iter	MultiClass
0	1.864771997
1	1.797259681
2	1.738309027
3	1.687519844
4	1.643273318
5	1.602666777
6	1.567054894
7	1.534974995
8	1.505615605
9	1.478807101
10	1.454265209
11	1.431920382
12	1.41104399
13	1.391800344
14	1.37420322
15	1.357891899
16	1.342887947
17	1.328808107
18	1.315714506
19	1.303403042
20	1.292058234
21	1.281561466
22	1.27175113
23	1.26253086
24	1.253923059
25	1.245766722
26	1.238248495
27	1.231292659
28	1.224517743
29	1.218318183
30	1.212476781
31	1.20697808
32	1.201853934
33	1.196947398
34	1.192623211
35	1.188275008
36	1.184193448
37	1.180382488
38	1.176988033
39	1.173515132
40	1.170323253
41	1.167297848
42	1.164652218
43	1.162094169
44	1.15957924
45	1.157078916
46	1.154817655
47	1.152731861
48	1.150756785
49	1.148855813
50	1.147015138
51	1.145261176
52	1.143669962
53	1.142125829
54	1.140747943
55	1.139371305
56	1.138073214
57	1.136801104
58	1.135635469
59	1.134632552
60	1.13371687
61	1.132780486
62	1.13189769
63	1.130991211
64	1.130122109
65	1.12939321
66	1.128594857
67	1.12789578
68	1.127225735
69	1.126598097
70	1.125998441
71	1.125435934
72	1.12492107
73	1.124379565
74	1.123837073
75	1.123365988
76	1.12289597
77	1.122493116
78	1.12205499
79	1.121668302
80	1.121295608
81	1.120911822
82	1.120564674
83	1.120232089
84	1.119942066
85	1.11968288
86	1.119398879
87	1.119086842
88	1.11883303
89	1.118385016
90	1.118114392
91	1.117923485
92	1.117702321
93	1.117386027
94	1.117176579
95	1.116958881
96	1.116750033
97	1.116540402
98	1.116310021
99	1.116026922
100	1.115730832
101	1.115590653
102	1.115377323
103	1.115229364
104	1.115068473
105	1.114938327
106	1.114785955
107	1.114631232
108	1.114507197
109	1.114344791
110	1.114243356
111	1.11409249
112	1.11399257
113	1.113850065
114	1.113752153
115	1.113648816
116	1.113543032
117	1.113395321
118	1.113267527
119	1.113139669
120	1.113049518
121	1.112965921
122	1.112858089
123	1.112755886
124	1.112673336
125	1.11259777
126	1.112500047
127	1.112442708
128	1.112331279
129	1.11225274
130	1.112129453
131	1.111998085
132	1.111936319
133	1.111846128
134	1.11176291
135	1.111662044
136	1.111574864
137	1.111533924
138	1.111467006
139	1.111373437
140	1.111320383
141	1.111233735
142	1.111164848
143	1.111075262
144	1.110994273
145	1.110873571
146	1.11075714
147	1.110695584
148	1.110634527
149	1.110567028
