iter	Passed	Remaining
0	165	165347
1	192	96194
2	220	73149
3	246	61334
4	272	54306
5	301	49928
6	328	46557
7	354	43968
8	381	41989
9	408	40401
10	442	39815
11	472	38905
12	501	38106
13	528	37242
14	557	36593
15	584	35918
16	608	35206
17	635	34659
18	662	34214
19	687	33680
20	714	33310
21	743	33032
22	770	32723
23	797	32441
24	823	32111
25	849	31826
26	874	31520
27	900	31262
28	928	31079
29	961	31079
30	988	30887
31	1015	30715
32	1042	30560
33	1071	30435
34	1098	30276
35	1125	30132
36	1151	29967
37	1179	29857
38	1205	29705
39	1232	29578
40	1258	29432
41	1283	29272
42	1309	29135
43	1334	28992
44	1360	28878
45	1387	28782
46	1413	28660
47	1440	28571
48	1467	28472
49	1492	28362
50	1517	28235
51	1542	28128
52	1570	28056
53	1596	27963
54	1622	27872
55	1647	27778
56	1673	27679
57	1697	27576
58	1723	27483
59	1748	27397
60	1772	27292
61	1799	27228
62	1825	27146
63	1851	27079
64	1877	27005
65	1903	26934
66	1928	26854
67	1954	26785
68	1980	26718
69	2004	26631
70	2029	26558
71	2054	26485
72	2080	26415
73	2104	26337
74	2129	26263
75	2153	26184
76	2179	26128
77	2205	26068
78	2230	26005
79	2255	25938
80	2281	25882
81	2306	25824
82	2332	25766
83	2356	25701
84	2382	25643
85	2407	25589
86	2432	25525
87	2458	25475
88	2483	25420
89	2509	25371
90	2534	25315
91	2560	25268
92	2585	25213
93	2610	25164
94	2636	25113
95	2662	25073
96	2688	25025
97	2713	24978
98	2740	24939
99	2766	24895
100	2792	24854
101	2817	24804
102	2842	24754
103	2867	24704
104	2893	24665
105	2918	24611
106	2943	24566
107	2969	24524
108	2994	24478
109	3021	24443
110	3045	24392
111	3071	24350
112	3096	24303
113	3121	24260
114	3147	24219
115	3172	24176
116	3197	24130
117	3223	24091
118	3247	24042
119	3272	23998
120	3297	23956
121	3322	23911
122	3346	23863
123	3372	23825
124	3399	23793
125	3422	23743
126	3448	23707
127	3474	23670
128	3500	23635
129	3525	23595
130	3551	23561
131	3577	23525
132	3602	23481
133	3626	23436
134	3651	23397
135	3676	23357
136	3701	23317
137	3726	23276
138	3751	23238
139	3777	23203
140	3801	23158
141	3827	23124
142	3851	23084
143	3878	23056
144	3903	23017
145	3929	22982
146	3954	22945
147	3980	22911
148	4005	22879
149	4030	22842
150	4056	22806
151	4081	22768
152	4107	22737
153	4131	22699
154	4158	22669
155	4185	22642
156	4211	22613
157	4237	22582
158	4262	22548
159	4288	22515
160	4314	22486
161	4341	22458
162	4366	22421
163	4394	22398
164	4422	22380
165	4448	22348
166	4474	22319
167	4499	22282
168	4525	22251
